item_id,item_type,user_id,liked_date,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8,tag9,tag10,tag11,tag12,tag13,tag14,tag15,tag16,tag17
item1622,type1,user1012,2021-09-21 09:42:16.350000,label6,label18,label27,label5,label41,label9,label4,label12,,,,,,,,,
item1790,type1,user1012,2021-09-29 18:18:35.925000,label9,label12,label27,label6,label5,label4,,,,,,,,,,,
item1984,type1,user1012,2021-10-06 14:56:44.428000,label5,label6,label27,label12,label4,label9,,,,,,,,,,,
item2020,type1,user1012,2021-10-09 18:39:25.680000,label6,label12,label40,label27,label9,label4,label5,label87,,,,,,,,,
item2080,type1,user1012,2021-10-15 17:04:49.194000,label21,label18,label6,label4,,,,,,,,,,,,,
item2691,type1,user1012,2021-08-23 11:26:42.944000,label6,label35,label47,label38,label7,,,,,,,,,,,,
item2692,type1,user1012,2021-08-23 11:35:28.004000,label4,label74,label97,label9,label55,label35,,,,,,,,,,,
item1049,type1,user1012,2021-08-29 14:50:14.742000,label9,label5,label6,label27,label12,label4,,,,,,,,,,,
item2866,type1,user1012,2021-09-01 05:54:04.443000,label4,label9,label6,label193,label76,label129,,,,,,,,,,,
item2939,type1,user1012,2021-09-05 09:46:56.191000,label185,label35,label47,label7,label38,label6,,,,,,,,,,,
item1312,type1,user1012,2021-09-08 09:56:46.987000,label6,label17,label14,label4,label9,label82,,,,,,,,,,,
item3346,type1,user1012,2021-10-05 17:33:15.257000,label62,label12,label27,label41,label6,label5,label4,label9,label169,,,,,,,,
item3437,type1,user1012,2021-10-16 13:27:32.133000,label9,label18,label27,label12,label5,label4,label6,,,,,,,,,,
item3823,type1,user1012,2021-08-23 22:09:05.161000,label21,label97,label4,label119,label52,label45,,,,,,,,,,,
item3768,type1,user1012,2021-08-23 22:15:37.500000,label4,label6,,,,,,,,,,,,,,,
item2725,type1,user1012,2021-08-24 15:09:07.299000,label35,label4,label5,,,,,,,,,,,,,,
item2720,type1,user1012,2021-08-24 22:37:36.340000,label12,label6,label41,label9,label4,label5,label27,,,,,,,,,,
item3847,type1,user1012,2021-08-25 10:52:46.556000,label6,label48,label9,label27,label93,label12,label4,label5,,,,,,,,,
item3874,type1,user1012,2021-08-30 22:04:57.021000,label7,label38,label47,label6,label77,label186,label65,,,,,,,,,,
item3952,type1,user1012,2021-09-01 18:38:03.429000,label33,label65,label6,label51,,,,,,,,,,,,,
item4002,type1,user1012,2021-09-04 21:02:37.483000,label47,label38,label7,label146,label6,label18,,,,,,,,,,,
item4006,type1,user1012,2021-09-05 09:50:00.774000,label43,label39,label16,label9,label4,label6,label5,label57,,,,,,,,,
item4041,type1,user1012,2021-09-07 16:01:36.221000,label9,label4,label5,label6,label27,label12,,,,,,,,,,,
item3027,type3,user1012,2021-09-08 14:32:19.724000,label43,label6,label9,label4,label10,label39,label103,,,,,,,,,,
item1592,type1,user1012,2021-09-20 21:36:39.661000,label9,label6,label12,label5,label4,label27,,,,,,,,,,,
item1565,type1,user1012,2021-09-21 09:38:49.326000,label27,label101,label33,label6,label9,label4,label5,label12,label71,,,,,,,,
item4222,type1,user1012,2021-09-26 16:15:22.559000,label12,label160,label9,label4,label5,label6,label27,,,,,,,,,,
item4250,type1,user1012,2021-09-28 16:12:40.265000,label12,label16,label27,label9,label4,label5,label6,label57,,,,,,,,,
item4253,type1,user1012,2021-09-28 18:57:51.192000,label6,label4,label9,label5,label12,label27,label35,,,,,,,,,,
item2066,type1,user1012,2021-10-07 10:13:21.614000,label4,label6,label5,label52,label179,label9,,,,,,,,,,,
item3418,type1,user1012,2021-10-17 20:37:11.612000,label6,label4,label47,label7,label38,,,,,,,,,,,,
item699,type1,user1012,2021-08-20 12:16:09.929000,label19,label4,label48,label5,label9,label93,label69,,,,,,,,,,
item3910,type1,user1012,2021-08-30 22:06:41.214000,label88,label12,label72,label84,label21,label8,label4,label6,,,,,,,,,
item2943,type1,user1012,2021-09-04 21:03:57.040000,label19,label6,label146,label38,label7,label47,,,,,,,,,,,
item1188,type1,user1012,2021-09-04 21:07:06.284000,label12,label71,label19,label27,label101,label33,label6,label5,label4,label9,,,,,,,
item1310,type1,user1012,2021-09-07 16:04:22.464000,label12,label4,label9,label5,label6,label27,,,,,,,,,,,
item4138,type1,user1012,2021-09-21 15:56:57.468000,label33,label27,label101,label4,label5,label6,label9,label12,label71,,,,,,,,
item1870,type1,user1012,2021-09-28 16:06:39.892000,label9,label5,label6,label57,label27,label16,label12,label4,,,,,,,,,
item1874,type0,user1012,2021-09-29 18:31:48.914000,label4,label6,label27,label12,label5,label9,,,,,,,,,,,
item3067,type1,user1012,2021-09-29 18:59:53.040000,label12,label4,label9,label6,label5,label48,label93,label27,,,,,,,,,
item3381,type1,user1012,2021-10-07 16:58:48.007000,label16,label5,label6,label9,label57,label27,label12,label4,,,,,,,,,
item5021,type1,user1012,2021-10-08 14:56:16.687000,label6,label18,,,,,,,,,,,,,,,
item5044,type1,user1012,2021-10-10 09:15:00.715000,label27,label6,label5,label4,label33,label35,label9,label51,label12,label28,,,,,,,
item3393,type1,user1012,2021-10-11 17:19:52.767000,label18,label6,,,,,,,,,,,,,,,
item32,type0,user1014,2021-08-23 11:49:54.261000,label4,label21,label8,label104,label6,label72,label20,label85,,,,,,,,,
item120,type0,user1014,2021-08-23 21:39:42.971000,label47,label4,label21,label6,label7,label38,,,,,,,,,,,
item2002,type0,user1014,2021-10-12 11:11:32.109000,label6,label32,label12,label27,label5,label4,label9,,,,,,,,,,
item2046,type0,user1014,2021-10-12 11:14:26.295000,label16,label6,label8,label4,label5,label27,label88,label12,label175,label84,label72,label21,label9,,,,
item3186,type2,user1014,2021-08-23 21:41:51.915000,label4,label21,label45,label97,label119,label52,,,,,,,,,,,
item3799,type0,user1014,2021-08-23 21:46:10.941000,label6,label12,label27,label4,label9,label5,,,,,,,,,,,
item796,type1,user1015,2021-08-23 12:00:31.045000,label52,label75,label4,label38,label7,label6,label47,,,,,,,,,,
item2821,type1,user1015,2021-08-28 17:51:28.530000,label33,label70,label19,label58,label51,label4,label9,,,,,,,,,,
item587,type1,user1015,2021-08-21 15:24:53.574000,label58,label33,label51,label4,label9,label70,label19,,,,,,,,,,
item778,type1,user1015,2021-08-23 11:54:23.677000,label45,label17,label4,label8,label21,label40,label72,label222,label6,,,,,,,,
item4959,type1,user1015,2021-09-27 11:04:55.132000,label5,label27,label4,label12,label176,label9,,,,,,,,,,,
item667,type1,user1019,2021-08-23 12:31:26.274000,label5,label35,,,,,,,,,,,,,,,
item786,type1,user1019,2021-08-23 16:27:42.104000,label125,label107,label26,label79,label6,,,,,,,,,,,,
item968,type1,user1019,2021-08-30 21:39:46.408000,label39,label6,label9,label103,label4,label10,label43,,,,,,,,,,
item2803,type1,user1019,2021-08-30 12:05:09.006000,label35,label38,label7,label47,label6,,,,,,,,,,,,
item1221,type1,user1019,2021-09-03 21:46:27.918000,label33,label6,label51,label11,label35,,,,,,,,,,,,
item785,type3,user1023,2021-08-23 13:06:07.470000,label5,label69,,,,,,,,,,,,,,,
item1126,type3,user1023,2021-09-01 21:28:25.986000,label35,label146,label51,label6,label33,,,,,,,,,,,,
item1296,type0,user1023,2021-09-07 01:31:54.158000,label70,label58,label33,label6,label4,label9,,,,,,,,,,,
item2142,type1,user1023,2021-10-19 08:55:51.874000,label27,label5,label6,label12,label169,label4,label9,,,,,,,,,,
item442,type3,user1023,2021-08-15 14:50:30.636000,label4,label5,label10,label39,label43,label28,label12,label53,label27,label33,label6,label103,label9,,,,
item526,type3,user1023,2021-08-17 22:51:09.326000,label43,label4,label39,label53,label6,,,,,,,,,,,,
item727,type1,user1023,2021-08-22 00:22:00.343000,label39,label103,label29,label10,,,,,,,,,,,,,
item2707,type3,user1023,2021-08-23 23:08:18.290000,label9,label5,label6,label27,label47,label7,label38,label12,label4,,,,,,,,
item987,type0,user1023,2021-08-25 21:36:38.456000,label6,label104,label72,label20,label4,label85,label21,label8,,,,,,,,,
item944,type3,user1023,2021-08-26 19:42:26.398000,label51,label4,label20,label33,label35,label86,label9,,,,,,,,,,
item3025,type3,user1023,2021-09-10 11:16:04.448000,label6,label151,label9,label4,label5,label35,label27,label12,,,,,,,,,
item3246,type2,user1023,2021-09-26 19:59:05.489000,label15,label91,label72,label21,label8,label4,label31,label6,label97,label108,,,,,,,
item3395,type3,user1023,2021-10-11 00:07:48.019000,label6,label9,label27,label69,label12,label5,label28,label33,label4,,,,,,,,
item2185,type1,user1023,2021-10-21 02:30:06.514000,label6,label28,label12,label27,label35,label33,label5,label4,label9,,,,,,,,
item2663,type1,user1023,2021-08-21 21:02:59.516000,label9,label112,label24,label111,label4,,,,,,,,,,,,
item3855,type3,user1023,2021-08-25 17:33:26.207000,label6,label27,label12,label9,label4,label5,,,,,,,,,,,
item1278,type1,user1023,2021-09-06 12:36:39.611000,label9,label12,label3,label19,label27,label41,label5,label4,,,,,,,,,
item3027,type3,user1023,2021-09-08 10:50:58.685000,label39,label4,label43,label6,,,,,,,,,,,,,
item4061,type1,user1023,2021-09-09 23:09:13.850000,label6,label9,label4,label5,label18,label27,label12,,,,,,,,,,
item1478,type3,user1023,2021-09-15 01:19:15.752000,label6,label8,label4,label72,label123,label21,label7,label14,,,,,,,,,
item3205,type0,user1023,2021-09-19 23:59:54.482000,label9,label12,label27,label6,label5,label4,,,,,,,,,,,
item1630,type1,user1023,2021-09-21 23:19:28.250000,label27,label16,label9,label4,label5,label6,label57,label12,,,,,,,,,
item1891,type3,user1023,2021-09-28 19:16:09.303000,label5,label4,label9,label27,label6,label12,,,,,,,,,,,
item2408,type3,user1023,2021-08-17 10:59:10.621000,label6,label5,label4,label44,label9,label12,label27,label18,,,,,,,,,
item627,type3,user1023,2021-08-20 21:44:12.106000,label67,label68,label44,label5,label33,label98,label193,label168,label58,label64,label54,label76,label153,label129,label42,label70,label15
item317,type0,user1023,2021-08-27 00:42:29.606000,label9,label15,label64,label98,label6,label4,,,,,,,,,,,
item2877,type1,user1023,2021-09-02 10:56:11.706000,label47,label38,label54,label6,label69,label7,,,,,,,,,,,
item4884,type2,user1023,2021-09-16 23:33:59.983000,label52,label156,label124,label30,,,,,,,,,,,,,
item2735,type3,user1023,2021-09-21 01:12:48.581000,label12,label9,label4,label5,label6,label33,label101,label27,label71,,,,,,,,
item2124,type1,user1023,2021-10-11 19:37:28.246000,label18,label6,,,,,,,,,,,,,,,
item134,type0,user1025,2021-08-23 13:27:53.437000,label65,label41,label5,label4,label9,label12,label3,label27,,,,,,,,,
item1334,type1,user1025,2021-09-08 22:20:35.279000,label9,label10,label6,label39,label43,label103,label4,,,,,,,,,,
item1978,type1,user1025,2021-10-07 21:34:21.306000,label28,label12,label27,label35,label33,label6,label51,label5,label4,label9,,,,,,,
item1492,type1,user1025,2021-09-16 20:35:40.012000,label27,label9,label4,label5,label6,label12,,,,,,,,,,,
item2,type0,user1025,2021-08-23 00:07:24.283000,label75,label52,label6,label4,,,,,,,,,,,,,
item710,type1,user1025,2021-08-23 23:05:23.350000,label27,label5,label4,label12,label38,label9,label7,label47,label6,,,,,,,,
item3285,type0,user1025,2021-09-10 20:27:13.537000,label6,label5,label4,label9,label259,label187,,,,,,,,,,,
item802,type0,user1029,2021-08-23 14:34:06.811000,label21,label72,label172,label4,label88,label6,label93,label8,,,,,,,,,
item803,type0,user1029,2021-08-23 14:39:09.562000,label4,label75,label6,label52,label21,,,,,,,,,,,,
item284,type0,user1029,2021-08-28 23:01:46.047000,label69,label4,label9,label87,label40,label5,label3,,,,,,,,,,
item1015,type1,user1029,2021-08-28 23:13:42.231000,label4,label9,label3,label69,label5,,,,,,,,,,,,
item1086,type0,user1029,2021-09-25 16:38:45.942000,label146,label12,label27,label6,label5,label4,label9,,,,,,,,,,
item1733,type2,user1029,2021-09-25 16:40:38.113000,label4,label6,label5,label9,label27,label146,label69,label12,,,,,,,,,
item1959,type0,user1029,2021-10-04 16:14:16.067000,label75,label4,label5,label6,label27,label52,label12,label9,,,,,,,,,
item1973,type0,user1029,2021-10-05 13:01:25.879000,label69,label62,label27,label12,label41,label6,label5,label4,label9,label169,,,,,,,
item1523,type0,user1029,2021-10-08 14:06:41.272000,label12,label5,label4,label9,label27,label57,label16,label6,,,,,,,,,
item1953,type1,user1029,2021-10-10 13:01:59.424000,label5,label27,label12,label176,label4,label9,,,,,,,,,,,
item1822,type0,user1029,2021-10-13 11:56:22.702000,label6,label12,label18,label27,label4,label9,label5,,,,,,,,,,
item2657,type1,user1029,2021-08-22 01:09:40.563000,label26,label29,,,,,,,,,,,,,,,
item1049,type1,user1029,2021-08-30 15:46:12.794000,label47,label186,label77,label7,label38,label6,,,,,,,,,,,
item1282,type1,user1029,2021-09-06 12:46:24.710000,label9,label27,label101,label33,label6,label5,label4,label71,label12,,,,,,,,
item3312,type0,user1029,2021-09-30 21:25:42.690000,label27,label9,label4,label35,label33,label6,label5,label28,label12,,,,,,,,
item3314,type0,user1029,2021-09-30 23:26:22.752000,label12,label32,label5,label6,label9,label4,label27,,,,,,,,,,
item3791,type0,user1029,2021-08-22 11:47:39.995000,label4,label9,label3,label27,label5,label12,label62,,,,,,,,,,
item3257,type3,user1029,2021-09-25 16:27:26.769000,label6,label4,label5,label146,label27,label35,label9,label12,,,,,,,,,
item4269,type0,user1029,2021-09-30 19:57:56.074000,label5,label6,label4,label9,label65,label12,label33,label27,label28,,,,,,,,
item3522,type0,user1029,2021-09-30 21:29:42.469000,label5,label6,label12,label34,label4,label9,label27,,,,,,,,,,
item3520,type1,user1029,2021-10-14 14:06:54.881000,label9,label12,label27,label6,label5,label4,label65,label190,,,,,,,,,
item4329,type1,user1029,2021-10-14 14:08:59.388000,label27,label12,label71,label101,label33,label6,label5,label4,label9,,,,,,,,
item3059,type0,user1029,2021-10-15 10:21:24.307000,label6,label18,label21,label4,,,,,,,,,,,,,
item749,type0,user1029,2021-08-22 01:02:45.888000,label47,label7,label38,label29,,,,,,,,,,,,,
item1108,type0,user1029,2021-08-30 15:47:06.947000,label4,label18,label6,,,,,,,,,,,,,,
item1473,type1,user1029,2021-09-13 21:10:29.048000,label9,label4,label6,label96,label102,label17,label69,,,,,,,,,,
item4888,type0,user1029,2021-09-27 15:23:45.222000,label5,label9,label27,label4,label12,label176,,,,,,,,,,,
item4560,type3,user1029,2021-09-29 13:36:26.051000,label9,label12,label27,label35,label5,label4,,,,,,,,,,,
item3096,type1,user1029,2021-09-30 15:18:56.685000,label12,label27,label9,label5,label41,label6,label4,,,,,,,,,,
item1910,type0,user1029,2021-10-02 11:52:53.509000,label5,label87,label6,label4,label27,label9,label12,label40,,,,,,,,,
item3344,type1,user1029,2021-10-04 16:09:29.084000,label75,label12,label52,label27,label6,label5,label4,label9,,,,,,,,,
item1556,type0,user1029,2021-10-04 21:35:29.349000,label9,label49,label27,label99,label6,label5,label4,label12,,,,,,,,,
item5040,type0,user1029,2021-10-08 23:56:18.043000,label12,label9,label4,label5,label27,,,,,,,,,,,,
item5041,type0,user1029,2021-10-08 23:59:00.280000,label4,label41,label6,label5,label146,label27,label12,label9,,,,,,,,,
item3103,type0,user1029,2021-10-11 14:17:19.610000,label9,label4,label5,label6,label12,label141,label27,label41,,,,,,,,,
item5027,type0,user1029,2021-10-12 22:29:09.133000,label4,label5,label9,label65,label27,label12,,,,,,,,,,,
item1445,type0,user1029,2021-10-13 14:00:16.279000,label4,label5,label9,label6,label18,label12,label27,,,,,,,,,,
item103,type0,user103,2021-08-08 20:53:46.760000,label6,,,,,,,,,,,,,,,,
item1419,type0,user103,2021-09-22 17:35:46.860000,label5,label9,label4,label12,label27,label18,label6,,,,,,,,,,
item331,type0,user103,2021-10-21 10:41:38.738000,label6,label4,label21,,,,,,,,,,,,,,
item1624,type0,user103,2021-09-22 16:02:08.573000,label18,label6,label5,label4,label9,label12,label27,,,,,,,,,,
item3182,type2,user103,2021-09-22 16:22:21.258000,label18,label4,label9,label5,label6,label27,label12,,,,,,,,,,
item3188,type0,user103,2021-09-23 00:39:28.242000,label27,label4,label9,label6,label12,label5,,,,,,,,,,,
item3955,type0,user103,2021-09-01 19:10:32.283000,label6,label57,label16,label9,label4,label5,,,,,,,,,,,
item4103,type0,user103,2021-09-14 12:59:58.808000,label47,label38,label7,label6,label4,,,,,,,,,,,,
item516,type2,user103,2021-09-29 22:27:44.057000,label9,label176,label35,label69,label3,label5,label4,,,,,,,,,,
item4296,type1,user103,2021-10-04 18:43:46.498000,label27,label4,label9,label6,label5,label87,label40,label12,,,,,,,,,
item2407,type1,user103,2021-10-14 19:19:15.035000,label4,label6,label27,label12,label9,label11,label65,label5,,,,,,,,,
item2266,type1,user103,2021-10-14 19:32:58.999000,label12,label9,label65,label4,label6,label5,label33,label27,label28,,,,,,,,
item1099,type0,user103,2021-09-11 23:17:18.754000,label103,label4,label9,label43,label10,label39,label6,,,,,,,,,,
item5087,type0,user103,2021-10-20 19:30:11.627000,label19,label9,label4,label5,label6,label33,label27,label12,label28,,,,,,,,
item811,type1,user1035,2021-08-23 16:03:45.664000,label4,label6,label39,label70,label149,label72,label21,label8,,,,,,,,,
item813,type1,user1035,2021-08-23 16:15:25.977000,label42,label126,label88,label72,label21,label6,label4,label8,,,,,,,,,
item325,type0,user1035,2021-08-25 12:22:15.866000,label12,label34,label27,label6,label5,label4,label9,,,,,,,,,,
item1184,type1,user1035,2021-09-03 00:05:49.797000,label12,label9,label4,label5,label6,label27,,,,,,,,,,,
item1155,type1,user1035,2021-09-03 00:09:59.218000,label6,label9,label4,label5,label27,label12,,,,,,,,,,,
item1210,type1,user1035,2021-09-03 20:55:23.338000,label38,label47,label7,label6,label35,label120,,,,,,,,,,,
item1216,type1,user1035,2021-09-03 21:31:13.757000,label27,label9,label18,label6,label5,label12,label4,,,,,,,,,,
item1217,type1,user1035,2021-09-03 22:09:15.941000,label103,label39,label4,label9,label10,label43,label6,,,,,,,,,,
item1292,type1,user1035,2021-09-07 12:21:43.112000,label4,label6,label21,,,,,,,,,,,,,,
item1342,type1,user1035,2021-09-10 00:50:11.463000,label5,label6,label12,label4,label9,label27,label19,,,,,,,,,,
item2193,type1,user1035,2021-10-23 14:25:55.955000,label6,label4,,,,,,,,,,,,,,,
item67,type1,user1035,2021-08-23 00:39:14.272000,label7,label4,label47,label38,label6,,,,,,,,,,,,
item1029,type1,user1035,2021-08-29 23:41:34.127000,label9,label4,label5,label18,label6,label27,label12,,,,,,,,,,
item1113,type1,user1035,2021-09-01 20:37:07.488000,label4,label9,label12,label27,label41,label18,label6,label5,,,,,,,,,
item2667,type0,user1035,2021-09-02 02:13:58.361000,label33,label51,label146,label6,,,,,,,,,,,,,
item2912,type1,user1035,2021-09-03 16:56:14.110000,label6,label18,label12,label27,label5,label4,label9,,,,,,,,,,
item223,type1,user1035,2021-09-03 17:23:05.967000,label27,label60,label6,label5,label4,label9,label12,label138,label76,,,,,,,,
item2916,type1,user1035,2021-09-03 20:59:49.443000,label21,label91,label15,label6,label8,label72,label4,label108,label31,label97,,,,,,,
item1279,type1,user1035,2021-09-06 00:37:41.902000,label107,label79,label125,label69,label6,label26,,,,,,,,,,,
item1351,type1,user1035,2021-09-10 00:40:10.695000,label28,label6,label4,label33,,,,,,,,,,,,,
item1368,type1,user1035,2021-09-10 00:41:11.299000,label38,label146,label6,label35,label47,label7,,,,,,,,,,,
item2107,type1,user1035,2021-10-16 23:22:51.554000,label4,label6,label18,label21,,,,,,,,,,,,,
item3441,type1,user1035,2021-10-16 23:27:32.051000,label27,label9,label190,label4,label6,label5,label19,label12,,,,,,,,,
item3470,type1,user1035,2021-10-21 21:11:47.910000,label39,label4,label43,label6,,,,,,,,,,,,,
item3818,type1,user1035,2021-08-23 16:02:23.181000,label19,label5,,,,,,,,,,,,,,,
item778,type1,user1035,2021-08-23 16:04:11.732000,label5,label35,,,,,,,,,,,,,,,
item2623,type1,user1035,2021-08-23 16:17:05.232000,label33,label9,label4,label6,label101,label71,,,,,,,,,,,
item733,type0,user1035,2021-08-24 14:12:20.586000,label5,label4,label35,,,,,,,,,,,,,,
item2665,type1,user1035,2021-08-28 23:05:53.905000,label71,label47,label101,label33,label6,label4,label9,label38,label7,,,,,,,,
item1008,type1,user1035,2021-08-28 22:59:54.533000,label5,label4,label3,label19,label9,,,,,,,,,,,,
item1082,type1,user1035,2021-08-31 17:57:44.077000,label9,label12,label27,label6,label5,label4,,,,,,,,,,,
item2762,type1,user1035,2021-09-03 20:30:35.833000,label7,label120,label6,label38,label47,,,,,,,,,,,,
item13,type1,user1035,2021-09-03 20:44:53.662000,label47,label7,label120,label6,label35,label38,,,,,,,,,,,
item1250,type1,user1035,2021-09-05 00:44:42.077000,label143,label6,label47,label7,label38,label65,,,,,,,,,,,
item1256,type1,user1035,2021-09-05 00:45:47.209000,label16,label175,label8,label72,label21,label6,label4,label88,,,,,,,,,
item1603,type1,user1035,2021-09-17 01:33:31.071000,label5,label4,label9,label12,label27,label33,label6,label11,label51,label65,,,,,,,
item2165,type1,user1035,2021-10-11 13:36:55.287000,label6,label4,label21,,,,,,,,,,,,,,
item4366,type1,user1035,2021-10-21 21:04:29.533000,label6,label5,label4,label9,label12,label27,label18,,,,,,,,,,
item1970,type1,user1035,2021-10-23 14:28:16.075000,label6,label4,label38,label47,label7,,,,,,,,,,,,
item2661,type0,user1035,2021-08-23 00:17:32.867000,label13,label45,label76,label92,label8,label4,,,,,,,,,,,
item4664,type1,user1035,2021-08-23 16:16:17.155000,label7,label6,label4,label47,label38,,,,,,,,,,,,
item4665,type1,user1035,2021-08-23 16:21:15.408000,label65,label12,label27,label41,label5,label4,label3,label9,,,,,,,,,
item2409,type2,user1035,2021-08-24 14:18:31.735000,label33,label6,label28,label4,,,,,,,,,,,,,
item951,type1,user1035,2021-08-27 00:17:40.222000,label4,label64,label15,label9,label98,label6,,,,,,,,,,,
item2806,type1,user1035,2021-08-27 00:23:50.497000,label9,label6,label5,label4,label12,label27,,,,,,,,,,,
item1015,type1,user1035,2021-08-28 22:58:09.511000,label27,label4,label6,label5,label9,label12,,,,,,,,,,,
item201,type0,user1035,2021-08-28 23:08:30.139000,label6,label17,label4,label82,label9,label14,,,,,,,,,,,
item1114,type1,user1035,2021-08-31 17:53:47.164000,label4,label5,label35,label3,label9,,,,,,,,,,,,
item1125,type1,user1035,2021-09-01 20:35:02.576000,label6,label9,label5,label4,label27,label12,,,,,,,,,,,
item372,type0,user1035,2021-09-02 02:01:15.596000,label5,label4,label9,label27,label12,label6,,,,,,,,,,,
item679,type0,user1035,2021-09-02 02:09:30.428000,label6,label4,,,,,,,,,,,,,,,
item4386,type1,user1035,2021-09-03 20:48:43.064000,label27,label9,label4,label5,label6,label12,,,,,,,,,,,
item1312,type1,user1035,2021-09-08 02:19:38.145000,label4,label6,label96,label17,label102,label9,,,,,,,,,,,
item3046,type1,user1035,2021-09-12 11:54:49.598000,label90,label71,label88,label6,label4,label8,label21,label72,,,,,,,,,
item1429,type1,user1035,2021-09-13 01:40:45.472000,label6,label12,label27,label4,label9,label5,,,,,,,,,,,
item762,type1,user1038,2021-08-23 16:32:09.652000,label28,label33,label6,label4,,,,,,,,,,,,,
item598,type1,user1038,2021-08-20 20:59:13.128000,label50,label9,label70,label261,label29,label58,label33,label4,,,,,,,,,
